205,Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",26,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG",2023-02-17
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.16,"Action, Adventure, Drama, Magic, Romance, Fantasy",27,"Kadokawa Shoten, Yomiko Advertising, Marubeni",2023-02-17
207,Lodoss-tou Senki,7.4,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",13,"Kadokawa Shoten, TBS, Marubeni",2023-02-17
208,R.O.D: Read or Die,7.67,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",3,"Aniplex, SME Visual Works",2023-02-17
209,R.O.D: The TV,7.55,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",26,"Aniplex, Studio Deen, Broccoli, Sony Music Entertainment",2023-02-17
210,Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",161,"Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",2023-02-17
211,Pure Mail,6.26,Hentai,2,"Pink Pineapple, Green Bunny",2023-02-17
212,Project A-Ko,6.86,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",1,Soeishinsha,2023-02-17
213,Pia Carrot e Youkoso!!,6.02,"Comedy, Romance, Hentai",3,NuTech Digital,2023-02-17
214,Pia Carrot e Youkoso!! 2,6.15,"Comedy, Romance, Hentai",3,Pink Pineapple,2023-02-17
215,Pia Carrot e Youkoso!! 2 DX,6.31,"Comedy, Romance",6,Unknown,2023-02-17
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,"Comedy, Romance",1,"Geneon Universal Entertainment, I-move",2023-02-17
217,Shin Angel,6.28,"Comedy, Drama, Hentai, Romance",5,"Pink Pineapple, Studio Tulip",2023-02-17
218,Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",26,"Starchild Records, Yomiko Advertising, Audio Tanaka",2023-02-17
